單位,電話,地址,FLOOR_X,FLOOR_Y
溪口派出所,03-8652283,花蓮縣壽豐鄉溪口村溪口路87號,298300.000000,2635087.000000
壽豐分駐所,03-8651337,花蓮縣壽豐鄉壽豐村壽山路22號,301875.000000,2640717.000000
豐田派出所,03-8651486,花蓮縣壽豐鄉豐山村豐山街1號,300344.000000,2638333.000000
鹽寮派出所,03-8671200,花蓮縣壽豐鄉鹽寮村鹽寮129號,310874.000000,2640569.000000
山興派出所,03-8741014,花蓮縣鳳林鎮山興里山文路7之1號,300852.000000,2624833.000000
南平派出所,03-8771594,花蓮縣鳳林鎮自強路372號,296792.000000,2631067.000000
長橋派出所,03-8751314,花蓮縣鳳林鎮長橋里長橋路91號,292770.000000,2623137.000000
鳳林派出所,03-8762293,花蓮縣鳳林鎮鳳智里信義路37號,295967.000000,2626555.000000
鳳林分局,03-8762324,花蓮縣鳳林鎮鳳智里信義路37號,295967.000000,2626555.000000
富源派出所,03-8811014,花蓮縣豐濱鄉富源村159號,288419.000000,2608219.000000
港口派出所,03-8781046,花蓮縣豐濱鄉港口村九鄰29號,300673.000000,2596359.000000
新社派出所,03-8711329,花蓮縣豐濱鄉新社村七鄰160號,304741.000000,2616539.000000
豐濱分駐所,03-8791148,花蓮縣豐濱鄉豐濱村三民路53之4號,303258.000000,2610629.000000
金沙分駐所,082-352260,金門縣金沙鎮汶沙里成功路1號,-12445.000000,2711789.000000
金城派出所,082-325539,金門縣金城鎮北門里民生路45巷1號,-21923.000000,2705892.000000
金城分局,082-328094,金門縣金城鎮北門里民生路45巷1號,-21923.000000,2705892.000000
金門縣警察局,082-325341,金門縣金城鎮東門里金山路15號,-21573.000000,2705118.000000
金湖派出所,082-332559,金門縣金湖鎮黃海路90-3號,-12277.000000,2706423.000000
金湖分局,082-335093,金門縣金湖鎮黃海路90-3號,-12277.000000,2706423.000000
金寧分駐所,082-325520,金門縣金寧鄉盤山村仁愛新村2號,-20074.000000,2707507.000000
烈嶼分駐所,082-362110,金門縣烈嶼鄉林湖村西路37號,-29659.000000,2705779.000000
烏坵駐在所,082-666112,金門縣烏坵鄉大坵村1-1號,93608.000000,2765951.000000
中寮分駐所,049-2691330,南投縣中寮鄉永平村永平路278號,226140.000000,2641675.000000
爽文派出所,049-2601049,南投縣中寮鄉爽文村龍南路189號,225629.000000,2647804.000000
望洋派出所,049-2955210,南投縣仁愛鄉力行村新望洋68號,269235.000000,2671411.000000
翠巒派出所,049-2960040,南投縣仁愛鄉力行村翠巒路23號,270680.000000,2675273.000000
翠峰派出所,049-2802603,南投縣仁愛鄉大同村仁和路220號,270039.000000,2666709.000000
仁愛分局,049-2802204,南投縣仁愛鄉大同村仁和路87號,263469.000000,2657612.000000
霧社派出所,049-2802520,南投縣仁愛鄉大同村仁和路87號,263469.000000,2657612.000000
松岡派出所,049-2802395,南投縣仁愛鄉大同村博望巷29號,267315.000000,2663325.000000
過坑派出所,049-2925753,南投縣仁愛鄉中正村平等巷118號,249147.000000,2644461.000000
中原派出所,049-2941073,南投縣仁愛鄉互助村中華路2號,246885.000000,2662137.000000
清流派出所,049-2941076,南投縣仁愛鄉互助村明月路50號,245303.000000,2662590.000000
靜觀派出所,049-2970195,南投縣仁愛鄉合作村平生路24號,271995.000000,2664561.000000
武界派出所,049-2977001,南投縣仁愛鄉法治村界山巷4號,254756.000000,2645855.000000
南豐派出所,049-2920085,南投縣仁愛鄉南豐村中正路86號,256677.000000,2655395.000000
春陽派出所,049-2802396,南投縣仁愛鄉春陽村永樂巷57號,265168.000000,2658112.000000
紅香派出所,049-2955187,南投縣仁愛鄉發祥村仁盛路22號,267946.000000,2672794.000000
瑞岩派出所,049-2955185,南投縣仁愛鄉發祥村瑞和路43號,266395.000000,2667857.000000
眉原派出所,049-2941075,南投縣仁愛鄉新生村山林巷93號,248428.000000,2663346.000000
萬豐派出所,049-2974110,南投縣仁愛鄉萬豐村清華巷77號,258029.000000,2649006.000000
榮興派出所,04-25991064,南投縣仁愛鄉榮興村碧綠巷24號,279402.000000,2679772.000000
平靜派出所,049-2970196,南投縣仁愛鄉精英村法觀路18號,269548.000000,2661697.000000
廬山派出所,049-2802521,南投縣仁愛鄉精英村榮華巷43號,269129.000000,2657527.000000
華崗派出所,049-2960200,南投縣仁愛鄉翠華村華崗119之2號,273182.000000,2675802.000000
親愛派出所,049-2974245,南投縣仁愛鄉親愛村高平路4號,261045.000000,2651538.000000
水里分駐所,049-2770117,南投縣水里鄉北埔村六鄰博愛街86號,234992.000000,2634216.000000
玉峰派出所,049-2772643,南投縣水里鄉玉峰村仁愛路1號,233438.000000,2633441.000000
車埕派出所,049-2771154,南投縣水里鄉車埕村民權巷108號,236392.000000,2636646.000000
郡坑派出所,049-2821481,南投縣水里鄉群坑村郡坑巷26號,235648.000000,2626699.000000
永和派出所,049-2271002,南投縣名間鄉大庄村南田路138號,214770.000000,2641142.000000
名間分駐所,049-2732149,南投縣名間鄉中正村彰南路30號,219851.000000,2637046.000000
赤水派出所,049-2271159,南投縣名間鄉赤水村南田路291號,212252.000000,2639229.000000
崁峰派出所,049-2582138,南投縣名間鄉崁腳村名松路一段309號,215488.000000,2636827.000000
新佳派出所,049-2225160,南投縣名間鄉新街村彰南路422號,218799.000000,2641604.000000
中和派出所,049-2648620,南投縣竹山鎮中和里前山路二段119號,215648.000000,2628863.000000
竹山派出所,049-2642012,南投縣竹山鎮竹山里集山路968號,217656.000000,2628143.000000
竹山分局,049-2642040,南投縣竹山鎮竹山里集山路三段968號,217651.000000,2628146.000000
頂林派出所,049-2648702,南投縣竹山鎮秀林里頂林路399號,219522.000000,2624072.000000
延平派出所,049-2644365,南投縣竹山鎮延和里集山路三段22號,220015.000000,2629221.000000
社寮派出所,049-2622002,南投縣竹山鎮社寮里集山路一段1694號,221761.000000,2634589.000000
桶頭派出所,049-2711044,南投縣竹山鎮桶頭里鯉南路319號,214828.000000,2615994.000000
杉林派出所,049-2611307,南投縣竹山鎮溪山路5號,228783.000000,2615137.000000
瑞竹派出所,049-2711710,南投縣竹山鎮瑞竹里鯉南路293號,215896.000000,2617636.000000
過溪派出所,049-2648927,南投縣竹山鎮福興里鯉南路172號,216098.000000,2624822.000000
人倫派出所,049-2770310,南投縣信義鄉人和村民生巷9號,239463.000000,2630608.000000
和社派出所,049-2701304,南投縣信義鄉同富村同和巷6號,238635.000000,2610278.000000
青雲派出所,049-2741142,南投縣信義鄉地利村開信巷14號,244154.000000,2632257.000000
信義分局,049-2791260,南投縣信義鄉明德村玉山路49號,235144.000000,2621494.000000
信義派出所,049-2791261,南投縣信義鄉明德村玉山路49號,235144.000000,2621494.000000
東埔派出所,049-2701321,南投縣信義鄉東埔村開高巷56號,242656.000000,2606504.000000
久美派出所,049-2831472,南投縣信義鄉望美村美信巷55號,238174.000000,2612838.000000
新鄉派出所,049-2831595,南投縣信義鄉新鄉村新鄉路105號,236638.000000,2615189.000000
潭南派出所,049-2741264,南投縣信義鄉潭南村和平巷47號,243859.000000,2635268.000000
豐丘派出所,049-2791583,南投縣信義鄉豐丘村高平巷8號,237271.000000,2618551.000000
雙龍派出所,049-2741321,南投縣信義鄉雙龍村光復巷33號,244643.000000,2631043.000000
羅娜派出所,049-2831471,南投縣信義鄉羅娜村信筆巷66號,236708.000000,2613880.000000
半山派出所,049-2251264,南投縣南投市平山里彰南路三段19號,217005.000000,2646655.000000
光明派出所,049-2332586,南投縣南投市光明里光明路35號,219270.000000,2648267.000000
中興派出所,049-2332544,南投縣南投市光華路115號,218816.000000,2649564.000000
中興分局,049-2332585,南投縣南投市光華路115號,218816.000000,2649564.000000
府西派出所,049-2332557,南投縣南投市光輝里虎山路15號,217954.000000,2650393.000000
南投縣政府警察局,049-2222448,南投縣南投市南崗二路133號,217289.000000,2645100.000000
南投派出所,049-2222336,南投縣南投市彰南路二段109號,217754.000000,2645140.000000
南投分局,049-2222923,南投縣南投市彰南路二段109號,217754.000000,2645140.000000
鳳鳴派出所,049-2291939,南投縣南投市鳳鳴里八卦路837號,213129.000000,2646872.000000
永清派出所,049-2325314,南投縣南投市營南里南營路745號,217297.000000,2648573.000000
埔里派出所,049-2917139,南投縣埔里鎮中山路二段235號,246903.000000,2651328.000000
埔里分局,049-2982429,南投縣埔里鎮中山路二段235號,246903.000000,2651328.000000
史港派出所,049-2931692,南投縣埔里鎮史港里西安路二段355號,246251.000000,2655078.000000
合成派出所,049-2931587,南投縣埔里鎮合成里西安路三段225號,242351.000000,2659088.000000
隆生派出所,049-2904298,南投縣埔里鎮同聲里南環路400號,246096.000000,2649653.000000
桃米派出所,049-2913832,南投縣埔里鎮桃米里桃米巷48-1號,242913.000000,2648680.000000
鯉潭派出所,049-2987829,南投縣埔里鎮蜈蚣里中山路一段319號,248643.000000,2652369.000000
愛蘭派出所,049-2912334,南投縣埔里鎮鐵山里鐵山路118號,244247.000000,2652203.000000
上林派出所,049-2329309,南投縣草屯鎮上林里草溪路136之2號,216603.000000,2650424.000000
豐城派出所,049-2552223,南投縣草屯鎮土城里中正路216號,223736.000000,2653336.000000
草屯派出所,049-2362066,南投縣草屯鎮中山里太平路二段235號,217793.000000,2652307.000000
中正派出所-,049-2306200,南投縣草屯鎮炎峰里中正路603號,218084.000000,2652705.000000
草屯分局,049-2362002,南投縣草屯鎮炎峰里中正路603號,218084.000000,2652705.000000
復興派出所,049-2334783,南投縣草屯鎮復興里復興路755號,216129.000000,2652339.000000
新光派出所,049-2321224,南投縣草屯鎮新庄里芬草路150號,216574.000000,2654173.000000
雙冬派出所,049-2571222,南投縣草屯鎮雙冬里中正路46號,228779.000000,2653232.000000
北山派出所,049-2451181,南投縣國姓鄉北山村中正路四段159號,237035.000000,2652968.000000
梅林派出所,049-2461041,南投縣國姓鄉北港村國姓路48號,241067.000000,2661443.000000
國姓分駐所,049-2721232,南投縣國姓鄉石門里國姓路265號,235522.000000,2659475.000000
長流派出所,049-2431040,南投縣國姓鄉長流村大長路351號,237460.000000,2663059.000000
長壽派出所,049-2721130,南投縣國姓鄉福龜村中正路一段157號,231635.000000,2656419.000000
五城派出所,049-2895114,南投縣魚池鄉五城村五城巷24號,238600.000000,2642606.000000
德化派出所,049-2850119,南投縣魚池鄉日月村中正路288號,243098.000000,2638110.000000
日月潭派出所,049-2855121,南投縣魚池鄉水社村中山路61號,241178.000000,2640237.000000
東光派出所,049-2880126,南投縣魚池鄉東光村慶隆巷32號,246549.000000,2642832.000000
魚池分駐所,049-2895501,南投縣魚池鄉魚池村魚池街358號,243585.000000,2643627.000000
頭社派出所,049-2861013,南投縣魚池鄉頭社村平和巷145號,239412.000000,2636628.000000
秀峰派出所,049-2671930,南投縣鹿谷鄉仁愛路174號,227165.000000,2630691.000000
溪頭派出所,049-2612173,南投縣鹿谷鄉內湖村興產路一之20號,229128.000000,2618853.000000
竹林派出所,049-2676142,南投縣鹿谷鄉竹林里光復路106號,225082.000000,2624791.000000
鳳凰派出所,049-2751102,南投縣鹿谷鄉鳳凰村新進巷1號,227970.000000,2625679.000000
鹿谷分駐所,049-2752040,南投縣鹿谷鎮鹿谷村中正路二段76號,224947.000000,2626890.000000
集集派出所,049-2760828,南投縣集集鎮玉映里民生路63號,228221.000000,2636027.000000
集集分局,049-2762702,南投縣集集鎮玉映里民生路63號,228221.000000,2636027.000000
隘寮派出所,049-781064,南投縣集集鎮田寮里龍泉巷25號,224448.000000,2663877.000000
九如分駐所,08-7392424,屏東縣九如鄉九清村九如路二段177號,197506.000000,2514852.000000
三地門分駐所,08-7991154,屏東縣三地門鄉三地村中正路行政巷101號,214362.000000,2512843.000000
口社派出所,08-7957078,屏東縣三地門鄉口社村信義巷1號,213829.000000,2518766.000000
大社派出所,08-7996067,屏東縣三地門鄉大社村勝利巷149號,218872.000000,2523347.000000
青葉派出所,08-7960690,屏東縣三地門鄉光復巷1之2號,212978.000000,2526420.000000
青山派出所,08-7960690,屏東縣三地門鄉青山村民族巷61之2號,213106.000000,2524035.000000
馬兒派出所,08-7957078,屏東縣三地門鄉馬兒村馬兒巷1號,212078.000000,2520843.000000
達來派出所,08-7991154,屏東縣三地門鄉達來村達來巷1號,214333.000000,2512860.000000
德文派出所,08-7996067,屏東縣三地門鄉德文村德文巷3號,219442.000000,2518895.000000
賽嘉派出所,08-7957078,屏東縣三地門鄉賽嘉村賽嘉巷1號,213056.000000,2515960.000000
三民派出所,08-7991749,屏東縣內埔鄉三和村三和巷15號,209757.000000,2511338.000000
內埔派出所,08-7792018,屏東縣內埔鄉內埔村中興路158號,205761.000000,2501466.000000
內埔分局,08-7796801,屏東縣內埔鄉內埔村中興路158號,205761.000000,2501466.000000
水門派出所,08-7991749,屏東縣內埔鄉水門村中山路269號,213466.000000,2512003.000000
新東勢派出所,08-7792804,屏東縣內埔鄉東勢村嘉應路82號,205863.000000,2503991.000000
龍泉派出所,08-7701744,屏東縣內埔鄉龍潭村昭勝路372號,209021.000000,2508533.000000
新北勢派出所,08-7792804,屏東縣內埔鄉豐田村新中路137號,203012.000000,2503236.000000
竹田分駐所,08-7710734,屏東縣竹田鄉竹田村中正路111號,203099.000000,2498349.000000
西勢派出所,08-7710734,屏東縣竹田鄉西勢村龍門路58號,201106.000000,2502038.000000
泗洲派出所,08-7892582,屏東縣竹田鄉泗州村洲中路44號,201086.000000,2497161.000000
牡林派出所,08-8811141,屏東縣牡丹鄉四林村四林路48號,230765.000000,2441810.000000
